epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,5686.62,0.34926,0.24907,0.82576,0.99172,0.99612,0.99435,0.97964,0.22867,0.1761,0.76587,0.000355555,0.000355555,0.000355555
125,5732.29,0.34352,0.24447,0.82541,0.99022,0.99649,0.99449,0.98003,0.22812,0.17525,0.76639,0.000351056,0.000351056,0.000351056
126,5778.52,0.34387,0.24539,0.82553,0.99027,0.99578,0.99456,0.98182,0.22098,0.17379,0.7665,0.000346556,0.000346556,0.000346556
127,5824.37,0.34652,0.2455,0.82438,0.99339,0.9965,0.99444,0.98146,0.22717,0.17563,0.76618,0.000342057,0.000342057,0.000342057
128,5870.02,0.34968,0.24531,0.82539,0.99382,0.99448,0.99432,0.98129,0.22311,0.17373,0.7663,0.000337557,0.000337557,0.000337557
129,5915.74,0.33615,0.23903,0.82146,0.99144,0.99634,0.99438,0.98164,0.21765,0.17168,0.7641,0.000333058,0.000333058,0.000333058
130,5961.39,0.3427,0.24111,0.82198,0.99402,0.99534,0.99453,0.98087,0.22156,0.17223,0.76498,0.000328558,0.000328558,0.000328558
131,6007.48,0.34172,0.24181,0.82278,0.99361,0.9947,0.99453,0.98158,0.21926,0.17173,0.76521,0.000324058,0.000324058,0.000324058
132,6053.24,0.34,0.24128,0.82622,0.99375,0.99576,0.99437,0.98088,0.22109,0.17205,0.76477,0.000319559,0.000319559,0.000319559
133,6098.66,0.33648,0.23891,0.82335,0.99657,0.99145,0.99441,0.98094,0.21875,0.17172,0.76511,0.000315059,0.000315059,0.000315059
134,6144.31,0.33467,0.24072,0.8219,0.9963,0.99156,0.99436,0.98129,0.21885,0.17145,0.76463,0.00031056,0.00031056,0.00031056
135,6192.04,0.33421,0.23793,0.8241,0.99246,0.99417,0.99422,0.98072,0.21957,0.17098,0.76528,0.00030606,0.00030606,0.00030606
136,6237.81,0.33304,0.23775,0.82041,0.99589,0.99259,0.9943,0.98147,0.21655,0.16914,0.76419,0.000301561,0.000301561,0.000301561
